이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
이재우,37,0,0,1,0,2,0,9,46.0,33,32,213,44,7,1,9,28,0,5,47,0,2,6.26,6.27,1.57,74.9,73.1,-0.10
이용호,2,0,0,0,0,0,0,0,0.1,3,3,5,2,2,0,0,2,0,0,0,0,0,81.00,21.62,12.00,5.8,22.3,-0.12
김명성,17,0,0,0,1,0,0,0,17.1,15,15,89,27,5,0,2,11,0,1,10,0,4,7.79,6.04,2.19,60.2,77.5,-0.13
김수완,9,0,0,2,0,0,0,0,15.1,15,15,80,22,6,1,4,9,0,3,13,0,0,8.80,7.66,2.02,53.2,59.3,-0.13
이원재,12,0,0,0,1,0,0,0,10.2,15,15,63,21,3,0,2,12,0,1,5,0,4,12.66,8.77,3.09,37.0,53.0,-0.37
장민익,4,0,0,0,0,0,0,0,4.0,14,13,31,11,0,0,4,8,0,0,4,0,1,29.25,20.62,4.75,16.0,21.4,-0.48
마야,13,1,1,13,2,5,0,0,68.1,62,62,317,83,13,3,6,31,2,5,62,3,1,8.17,4.44,1.67,57.4,105.9,-0.91
니퍼트,28,1,1,27,22,3,0,0,167.2,61,55,701,151,19,3,15,57,0,9,142,0,8,2.95,4.44,1.24,173.1,113.2,5.97
장원준,27,0,0,27,15,6,0,0,168.0,66,62,727,161,23,6,14,76,0,9,137,0,8,3.32,4.76,1.41,153.9,105.9,5.67
보우덴,30,1,1,30,18,7,0,0,180.0,83,76,742,159,24,2,17,54,0,6,160,2,8,3.80,4.24,1.18,134.5,118.3,4.78
유희관,30,0,0,29,15,6,0,0,185.2,95,91,809,212,39,3,22,58,0,6,102,0,5,4.41,5.27,1.45,115.9,94.9,4.13
정재훈,46,0,0,0,1,5,2,23,52.1,21,19,219,43,10,1,3,17,1,5,56,0,2,3.27,3.60,1.15,156.4,140.9,1.62
윤명준,55,0,0,0,4,0,2,11,57.0,25,25,239,51,12,3,5,17,1,3,39,0,4,3.95,4.56,1.19,129.5,110.3,1.21
진야곱,55,0,0,2,5,2,1,4,62.0,38,34,294,68,14,1,8,40,0,1,56,0,4,4.94,5.65,1.74,103.6,88.5,0.49
김성배,24,0,0,0,0,1,1,4,22.0,11,10,96,29,2,1,3,5,0,1,12,0,1,4.09,5.29,1.55,124.9,94.1,0.39
허준혁,28,0,0,15,4,7,0,0,89.1,61,56,410,106,25,2,17,39,0,7,56,0,2,5.64,6.56,1.62,90.6,75.5,0.33
고원준,10,0,0,1,1,0,0,1,15.0,9,9,68,17,2,0,0,8,0,3,15,0,0,5.40,3.99,1.67,94.7,129.9,0.27
이용찬,5,0,0,0,1,0,0,2,6.2,2,2,26,7,2,0,0,0,0,0,5,1,0,2.70,2.29,1.05,189.3,228.4,0.26
이현승,56,0,0,0,1,4,25,1,57.2,36,31,260,65,10,2,8,17,3,7,41,1,2,4.84,5.27,1.42,105.6,94.5,0.24
